Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
05/05/2022,Ages_12-17_yrs,17511286,6.8,6.8,14945773,69.2,59.1,6.8,6.8,24.7,3.7,7.1,7.4,3691801,45038
05/05/2022,Sex_Female,133419956,52.2,51.7,114474638,79.2,67.9,52.4,52,50,54.8,52.5,55.5,55218964,338757
05/05/2022,Ages_40-49_yrs,35342688,13.7,13.7,30385742,86.6,74.5,13.8,13.8,43.8,13.2,14.4,10,13307552,61161
05/05/2022,Race_eth_NHMult_Oth,11508317,6,4.5,10258150,,,6,4.7,56.3,6.1,5.9,6.7,5469538,36110
05/05/2022,Race_eth_NHAsian,12824716,6.7,5,11585266,67.5,61,6.8,5.3,69.1,8.3,6.6,8.2,7463714,44191
05/05/2022,Ages_<5yrs,96886,0,0,47853,0.5,0.2,0,0,0,0,0,0,0,0
05/05/2022,Ages_65-74_yrs,33862644,13.1,13.1,29569599,95,92.7,13.4,13.4,67.1,19.7,14,19,19853751,116139
05/05/2022,Sex_known,255671580,99.9,99.1,218435594,,,99.9,99.3,48,99.9,99.9,99.9,100795216,610224
05/05/2022,Race_eth_NHAIAN,1763415,0.9,0.7,1468451,72.4,60.3,0.9,0.7,45.8,0.7,0.8,1.1,634217,5804
05/05/2022,Ages_25-39_yrs,54784758,21.2,21.2,45753476,80.1,66.9,20.8,20.8,35.8,16.2,21.6,15.5,16398757,94757
05/05/2022,Sex_Male,122251624,47.8,47.4,103960956,74.8,63.6,47.6,47.3,45.7,45.2,47.5,44.5,45576252,271467
05/05/2022,Race_eth_NHOther,7716275,4,3,6461470,,,3.8,2.9,46.5,3.2,3.8,3.2,2878262,17615
05/05/2022,Race_eth_NHMultiracial,3792042,2,1.5,3796680,51.6,51.7,2.2,1.7,73.4,2.9,2.2,3.4,2591276,18495
05/05/2022,Ages_<12yrs,10267491,4,4,8285035,21.2,17.1,3.8,3.8,0,0,0,0,0,0
05/05/2022,Race_eth_Hispanic,39957760,20.8,15.5,34018373,62.7,53.4,19.9,15.5,42.3,15.1,19.6,19.4,13622621,105363
05/05/2022,US,257960561,,100,219974190,77.7,66.3,,100,47.7,,100,,100982282,611081
05/05/2022,Ages_5-11_yrs,10164247,3.9,3.9,8235635,35.4,28.7,3.7,3.7,0,0,0,0,0,0
05/05/2022,Age_known,257951724,99.9,99.9,219972019,,,99.9,99.9,47.7,99.9,99.9,99.9,100982282,611081
05/05/2022,Ages_50-64_yrs,59282310,23,23,51678366,93.1,81.2,23.5,23.5,53.2,27.2,24.4,25.4,27496450,155348
05/05/2022,Sex_unknown,2288981,0.9,0.9,1538596,,,0.7,0.7,12.3,0.2,0.7,0.1,187066,857
05/05/2022,Race_eth_NHBlack,19752635,10.3,7.7,17291989,47.9,42,10.1,7.9,45,8.3,10.2,12.1,7497147,65550
05/05/2022,Race_eth_NHWhite,105524991,55,40.9,95867971,53.5,48.6,56,43.6,59.5,61.2,56.6,52.2,55180410,282811
05/05/2022,Race_eth_known,191948729,99.9,74.4,171046997,,,99.9,77.8,54.9,99.9,99.9,99.9,90117730,542076
05/05/2022,Ages_16-17_yrs,6101165,2.4,2.4,5230339,72.7,62.3,2.4,2.4,29.6,1.5,2.5,2.4,1549440,14501
05/05/2022,Race_eth_unknown,66011785,34.4,25.6,48927087,,,28.6,22.2,22.8,12.1,29,12.7,10864552,69005
05/05/2022,Ages_12-15_yrs,11410121,4.4,4.4,9715434,67.5,57.4,4.4,4.4,22.1,2.1,4.6,5,2142361,30537
05/05/2022,Age_unknown,8837,0,0,2171,,,0,0,0,0,0,0,0,0
05/05/2022,Ages_18-24_yrs,23924328,9.3,9.3,19403487,78.2,63.4,8.8,8.8,31.2,6,9.2,7.2,6052200,43887
05/05/2022,Race_eth_NHNHOPI,616895,0.3,0.2,556797,66.4,60,0.3,0.3,47.7,0.3,0.3,0.4,250083,2247
05/05/2022,Ages_75+_yrs,22976219,8.9,8.9,19950541,95,87.1,9.1,9.1,71.1,14,9.4,15.5,14181771,94751
05/04/2022,Ages_50-64_yrs,59282310,23,23,51678366,93.1,81.2,23.5,23.5,53.2,27.2,24.4,25.5,27496450,176795
05/04/2022,Ages_12-17_yrs,17511286,6.8,6.8,14945773,69.2,59.1,6.8,6.8,24.7,3.7,7.1,7.4,3691801,51007
05/04/2022,Race_eth_NHNHOPI,616895,0.3,0.2,556797,66.4,60,0.3,0.3,47.7,0.3,0.3,0.4,250083,2539
05/04/2022,Race_eth_NHOther,7716275,4,3,6461470,,,3.8,2.9,46.5,3.2,3.8,3.3,2878262,19975
05/04/2022,Ages_<5yrs,96886,0,0,47853,0.5,0.2,0,0,0,0,0,0,0,0
05/04/2022,Ages_16-17_yrs,6101165,2.4,2.4,5230339,72.7,62.3,2.4,2.4,29.6,1.5,2.5,2.3,1549440,16283
05/04/2022,Ages_<12yrs,10267491,4,4,8285035,21.2,17.1,3.8,3.8,0,0,0,0,0,0
05/04/2022,Ages_5-11_yrs,10164247,3.9,3.9,8235635,35.4,28.7,3.7,3.7,0,0,0,0,0,0
05/04/2022,Sex_Male,122251624,47.8,47.4,103960956,74.8,63.6,47.6,47.3,45.7,45.2,47.5,44.4,45576252,307438
05/04/2022,Race_eth_known,191948729,99.9,74.4,171046997,,,99.9,77.8,54.9,99.9,99.9,99.9,90117730,613709
